text,label
All user passwords must be stored using bcrypt with a per-user salt,Security
The system shall encrypt data in transit using TLS 1.3,Security
Access to admin functions requires multi-factor authentication,Security
Audit logs of all access attempts must be retained for seven years,Security
The application shall lock an account after five failed login attempts,Security
Sensitive fields must be encrypted at rest using AES-256,Security
Role-based access control shall restrict data to authorized users,Security
The system shall detect and alert on intrusion attempts,Security
The dashboard shall display monthly sales as a bar chart,Non-security
Users shall be able to export reports in PDF and CSV,Non-security
The system shall process up to 1000 concurrent users,Non-security
Search results shall be returned within two seconds,Non-security
The application shall be available 99.9 percent of the time,Non-security
The UI shall support English, French, and German,Non-security
The service shall auto-scale when CPU exceeds 80 percent,Non-security
The report module shall generate invoices on the first of each month,Non-security
